,title,year,genre,mix,bpm,artist
278,Hypnotic,2015,Rock, Quick Edit*,80,Zella Day
279,Hypnotic,2015,Alternative, Quick Edit,80,Zella Day
280,Mustang Kids,2016,Top 40,—,88,Zella Day ft. Baby E
281,Neverland,2016,Top 40,—,62,Zendaya
282,Replay,2013,Dance,—,70,Zendaya
283,Replay,2013,—, DJ Mike D Intro Edit,67,Zendaya
284,Replay,2013,Dance,Riddler Radio Mix,130,Zendaya
285,Replay,2013,—,DJ Mike D Remix,67,Zendaya
286,Replay,2013,Dance, Riddler Quick Edit,130,Zendaya
287,Replay,2013,Dance, Riddler Intro Edit,130,Zendaya
288,Replay,2013,—,Ralphi Rosario Club Remix,128,Zendaya
289,Replay,2013,—, DJ Mike D Quick Edit,67,Zendaya
290,Something New,2016,Pop,—,102,Zendaya ft. Chris Brown
291,Something New,2016,R&B,Explicit,102,Zendaya ft. Chris Brown
292,Something New,2016,Pop, Quick Edit,102,Zendaya ft. Chris Brown
293,Something New,2016,Pop,Clean,102,Zendaya ft. Chris Brown
294,Losing It,2005,—,Arrington Essex Remix,135,Zenen
295,California,1999,—,—,89,Zen Mafia
296,My Baby,2016,Rock,—,91,Zen Robbi
297,Superlove,2008,—,Club Mix,128,Zentribe ft. Linda Newman
298,Superlove,2008,—,Club Mix,128,Zentribe ft. Linda Newman
299,Superlove,2008,—,Club Mix,128,Zentribe ft. Linda Newman
300,Superlove,2008,—,Club Mix,128,Zentribe ft. Linda Newman
301,Bania U Cygana,2001,—,Remix,130,Zero
302,Destiny,2001,—,Photek Mix,130,Zero 7
303,Everything Up (Zizou),2010,—,Joker & Ginz Remix,70,Zero 7
304,Futures,2006,—,Rub N Tuck Remix,128,Zero 7
305,Throw It All Away,2006,—,—,138,Zero 7
306,Medicine Man,2009,—,Trackademicks Remix,132,Zero 7 ft. Eska
307,Lock Up,1992,Hardcore,(monolith Mix),131,Zero B
308,Lock Up,2004,Hard House,Alex Calver Mix,152,Zero B
309,Lock Up,1992,Hardcore,(monolith Mix),131,Zero B
310,Lock Up,2004,Hard House,Alex Calver Mix,152,Zero B
311,Area,2018,Rock,—,89,Zero Theorem
312,Feels So Good,1998,—,Ospina Dub,129,Zero V.U.
313,Feels So Good,1998,—,Ospina Dub,129,Zero V.U.
314,Clear,—,—,—,91,Zeta
315,Skysmear,—,—,Micro.spy Mix,131,Zeta
316,Burn Up,2005,—,—,152,Zetan Spore
317,Burn Up,2005,—,—,152,Zetan Spore
318,Take My Heart,2000,—,—,130,Zhana
319,Take My Heart,2000,—,—,130,Zhana
320,Gimme That Love,2014,Pop,—,95,Zhavea ft. Beenie Man
321,Gimme That Love,2014,Pop, Quick Edit,95,Zhavea ft. Beenie Man
322,Gimme That Love,2014,Pop,—,95,Zhavea ft. Beenie Man
323,Gimme That Love,2014,Pop, Quick Edit,95,Zhavea ft. Beenie Man
324,Deep Down,2018,Top 40,—,86,Zhavia
325,Candlelight,2019,R&B,—,68,Zhavia Ward
326,Faded,2015,Dance,Dzeko & Torres Remix,126,ZHU
327,Faded,2015,Dance, Quick Edit*,125,ZHU
328,Faded,2015,Dance,—,125,ZHU
329,Faded,2014,Dance, New Quick Edit,125,ZHU
330,Faded,2014,Dance, New Intro Edit,125,ZHU
331,Faded,2014,Dance,New Radio Edit,125,ZHU
332,Generationwhy,2016,Electronica,Original Mix,108,ZHU
333,Generationwhy,2016,Dance,—,108,ZHU
334,Automatic,2015,Dance,Original Mix,122,ZHU ft. AlunaGeorge
335,Automatic,2016,Dance,—,122,ZHU ft. AlunaGeorge
336,Automatic,2015,Dance,Suraci Radio Edit,126,ZHU ft. AlunaGeorge
337,Automatic,2015,Dance,Original Mix,122,ZHU ft. AlunaGeorge
338,Automatic,2016,Dance,—,122,ZHU ft. AlunaGeorge
339,Automatic,2015,Dance,Suraci Radio Edit,126,ZHU ft. AlunaGeorge
340,Automatic,2015,Dance,Original Mix,122,ZHU ft. AlunaGeorge
